ARP_Req_Count,ARP_Rep_Count,ARP_Ratio,ARP_Rate,ARP_Avg_IAT,Max_MAC_Freq,Unique_IPs,Label
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.0434145450592041,14,3,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
8,15,1.875,23.0,0.04055222597989169,15,3,1
1,1,1.0,2.0,1.3113021850585938e-05,1,2,0
2,4,2.0,6.0,0.06412281990051269,4,4,1
0,0,0.0,0.0,0.0,0,0,0
3,2,0.6666666666666666,5.0,0.20894300937652588,5,6,1
7,14,2.0,21.0,0.04161299467086792,14,3,1
79,3,0.0379746835443038,82.0,0.010660406983928917,81,82,1
0,2,2.0,2.0,0.0,2,2,1
8,16,2.0,24.0,0.04035095546556556,16,3,1
8,15,1.875,23.0,0.04344032027504661,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,15,2.142857142857143,22.0,0.04326509294055757,15,3,1
0,0,0.0,0.0,0.0,0,0,0
55,3,0.05454545454545454,58.0,0.016309683783012525,57,58,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
6,13,2.1666666666666665,19.0,0.04782156149546305,13,3,1
0,0,0.0,0.0,0.0,0,0,0
8,15,1.875,23.0,0.04036567427895286,15,3,1
8,16,2.0,24.0,0.04019082110861073,16,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
4,2,0.5,6.0,0.021788787841796876,6,7,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04843120574951172,14,3,1
26,3,0.11538461538461539,29.0,0.028460613318852017,28,28,1
0,0,0.0,0.0,0.0,0,0,0
7,15,2.142857142857143,22.0,0.043685288656325566,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
8,16,2.0,24.0,0.04082564685655677,16,3,1
7,14,2.0,21.0,0.04339364767074585,14,3,1
7,14,2.0,21.0,0.04879330396652222,14,3,1
8,15,1.875,23.0,0.045081918889825996,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
6,13,2.1666666666666665,19.0,0.04555794927808973,13,3,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,15,2.142857142857143,22.0,0.043808335349673315,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
133,2,0.015037593984962405,135.0,0.007430626385247529,135,136,1
0,0,0.0,0.0,0.0,0,0,0
6,12,2.0,18.0,0.04564387658063103,12,3,1
98,3,0.030612244897959183,101.0,0.009895977973937988,100,101,1
0,0,0.0,0.0,0.0,0,0,0
8,15,1.875,23.0,0.039821592244234955,15,3,1
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04497840404510498,14,3,1
8,15,1.875,23.0,0.04510145837610418,15,3,1
8,16,2.0,24.0,0.04086308893950089,16,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
3,5,1.6666666666666667,8.0,0.03672497613089425,5,3,1
30,2,0.06666666666666667,32.0,0.01928631721004363,32,33,1
1,1,1.0,2.0,0.00018095970153808594,1,2,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,13,1.8571428571428572,20.0,0.04528315443741648,13,3,1
0,0,0.0,0.0,0.0,0,0,0
215,2,0.009302325581395349,217.0,0.004618185537832754,217,218,1
8,16,2.0,24.0,0.04153096157571544,16,3,1
154,2,0.012987012987012988,156.0,0.006193504025859217,156,157,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
218,2,0.009174311926605505,220.0,0.004453274757350417,220,221,1
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04519904851913452,14,3,1
201,2,0.009950248756218905,203.0,0.004894163348887226,203,204,1
7,15,2.142857142857143,22.0,0.0426309449332101,15,3,1
8,16,2.0,24.0,0.04080026046089504,16,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
6,13,2.1666666666666665,19.0,0.046680728594462075,13,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
85,2,0.023529411764705882,87.0,0.010422836902529695,87,88,1
7,15,2.142857142857143,22.0,0.044002714611235116,15,3,1
0,2,2.0,2.0,0.0,2,2,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
224,2,0.008928571428571428,226.0,0.004433200624254015,226,227,1
6,2,0.3333333333333333,8.0,0.029050588607788086,8,9,1
0,0,0.0,0.0,0.0,0,0,0
7,15,2.142857142857143,22.0,0.045499233972458614,15,3,1
0,0,0.0,0.0,0.0,0,0,0
96,2,0.020833333333333332,98.0,0.010203855553853143,98,99,1
0,0,0.0,0.0,0.0,0,0,0
237,2,0.008438818565400843,239.0,0.004181752685739212,239,240,1
51,3,0.058823529411764705,54.0,0.015704811743970187,53,54,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
238,2,0.008403361344537815,240.0,0.0041011377358536345,240,241,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
79,2,0.02531645569620253,81.0,0.010897326469421386,81,82,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
44,2,0.045454545454545456,46.0,0.012791977988349067,46,47,1
8,16,2.0,24.0,0.041230688924374786,16,3,1
177,2,0.011299435028248588,179.0,0.005597669087099225,179,180,1
0,0,0.0,0.0,0.0,0,0,0
7,15,2.142857142857143,22.0,0.04419238226754325,15,3,1
53,2,0.03773584905660377,55.0,0.012608832783169217,55,56,1
0,2,2.0,2.0,0.0,2,2,1
7,13,1.8571428571428572,20.0,0.04548500713549162,13,3,1
0,2,2.0,2.0,0.0,2,2,1
7,15,2.142857142857143,22.0,0.044924713316417876,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
196,2,0.01020408163265306,198.0,0.005038862906131648,198,199,1
0,0,0.0,0.0,0.0,0,0,0
197,2,0.01015228426395939,199.0,0.004936762530394274,199,200,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
8,15,1.875,23.0,0.04218967394395308,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,15,2.142857142857143,22.0,0.04343685649690174,15,3,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
8,16,2.0,24.0,0.04140077466550081,16,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
225,2,0.008888888888888889,227.0,0.00433504792441309,227,228,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
166,2,0.012048192771084338,168.0,0.0059252998786058254,168,169,1
0,0,0.0,0.0,0.0,0,0,0
8,15,1.875,23.0,0.04131972789764404,15,3,1
244,2,0.00819672131147541,246.0,0.004056163709990832,246,247,1
0,0,0.0,0.0,0.0,0,0,0
88,2,0.022727272727272728,90.0,0.010775517881586311,90,91,1
128,2,0.015625,130.0,0.007679240648136582,130,131,1
0,0,0.0,0.0,0.0,0,0,0
36,2,0.05555555555555555,38.0,0.010858864397616,38,39,1
7,14,2.0,21.0,0.04477750062942505,14,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04680055379867554,14,3,1
0,0,0.0,0.0,0.0,0,0,0
166,2,0.012048192771084338,168.0,0.005922179022235071,168,169,1
0,0,0.0,0.0,0.0,0,0,0
181,2,0.011049723756906077,183.0,0.0053532477263565905,183,184,1
71,2,0.028169014084507043,73.0,0.010820166932211982,73,74,1
0,0,0.0,0.0,0.0,0,0,0
111,2,0.018018018018018018,113.0,0.008833072015217372,113,114,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,5.507469177246094e-05,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
199,2,0.010050251256281407,201.0,0.0049693453311920165,201,202,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04160894155502319,14,3,1
0,0,0.0,0.0,0.0,0,0,0
212,2,0.009433962264150943,214.0,0.004601399103800456,214,215,1
0,0,0.0,0.0,0.0,0,0,0
129,2,0.015503875968992248,131.0,0.0075135377737192005,131,132,1
244,2,0.00819672131147541,246.0,0.0039224858186682875,246,247,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.0443681001663208,14,3,1
84,2,0.023809523809523808,86.0,0.01083672747892492,86,87,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
222,2,0.009009009009009009,224.0,0.004396721921159547,224,225,1
242,2,0.008264462809917356,244.0,0.004093859911946112,244,245,1
7,14,2.0,21.0,0.04399759769439697,14,3,1
8,16,2.0,24.0,0.04260996113652769,16,3,1
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
129,2,0.015503875968992248,131.0,0.007569454266474797,131,132,1
0,0,0.0,0.0,0.0,0,0,0
244,2,0.00819672131147541,246.0,0.003918530989666374,246,247,1
212,2,0.009433962264150943,214.0,0.0046770572662353516,214,215,1
127,2,0.015748031496062992,129.0,0.007777078077197075,129,130,1
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
138,3,0.021739130434782608,141.0,0.007089228289467948,140,140,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04398115873336792,14,3,1
3,2,0.6666666666666666,5.0,0.15702253580093384,5,6,1
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
128,2,0.015625,130.0,0.007729681887367899,130,131,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
9,17,1.8888888888888888,26.0,0.03984072685241699,17,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.043790650367736814,14,3,1
0,0,0.0,0.0,0.0,0,0,0
202,2,0.009900990099009901,204.0,0.004833334185219751,204,205,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
16,3,0.1875,19.0,0.00886894596947564,18,19,1
7,14,2.0,21.0,0.04797714948654175,14,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
99,3,0.030303030303030304,102.0,0.00972745442154384,101,101,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
71,2,0.028169014084507043,73.0,0.01090980569521586,73,74,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04365849494934082,14,3,1
0,2,2.0,2.0,0.0,2,2,1
1,3,3.0,4.0,0.081360658009847,3,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
145,2,0.013793103448275862,147.0,0.006727533797695212,147,148,1
221,2,0.00904977375565611,223.0,0.00447447665102847,223,224,1
92,2,0.021739130434782608,94.0,0.010506309488768219,94,95,1
7,14,2.0,21.0,0.042583799362182616,14,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
